dataset,class,model,mean,std,model_acc,ts_lenght
ECG200,0,lstm,0.3884,0.06920578010542185,0.85,96
ECG200,0,catch22,0.30818181818181817,0.13600255223662547,0.825,96
ECG200,0,rocket,0.48939393939393944,0.1418052312139178,0.925,96
ECG200,1,lstm,0.6316,0.06920578010542183,0.85,96
ECG200,1,catch22,0.6281818181818182,0.1869038732911645,0.825,96
ECG200,1,rocket,0.5306060606060605,0.1418052312139178,0.925,96
NerveDamage,0,lstm,0.3884,0.06920578010542185,0.43902439024390244,1500
NerveDamage,0,catch22,0.30818181818181817,0.13600255223662547,1.0,1500
NerveDamage,0,rocket,0.48939393939393944,0.1418052312139178,1.0,1500
NerveDamage,1,lstm,0.6316,0.06920578010542183,0.43902439024390244,1500
NerveDamage,1,catch22,0.6281818181818182,0.1869038732911645,1.0,1500
NerveDamage,1,rocket,0.5306060606060605,0.1418052312139178,1.0,1500
NerveDamage,0,lstm,0.0,0.0,0.43902439024390244,1500
NerveDamage,0,catch22,0.7742857142857144,0.17903368740125358,1.0,1500
NerveDamage,0,rocket,0.3438095238095238,0.09853576534514864,1.0,1500
NerveDamage,1,lstm,0.0,0.0,0.43902439024390244,1500
NerveDamage,1,catch22,0.24025641025641023,0.16212510489864237,1.0,1500
NerveDamage,1,rocket,0.643076923076923,0.08765181251227146,1.0,1500
NerveDamage,2,lstm,0.0,0.0,0.43902439024390244,1500
NerveDamage,2,catch22,0.43238095238095237,0.07167418090649366,1.0,1500
NerveDamage,2,rocket,0.480952380952381,0.0466399340341731,1.0,1500
