dataset,class,model,mean,std
MedicalImages,0,lstm,0.0,0.0
MedicalImages,0,catch,0.4400401606425703,0.25714449548806906
MedicalImages,0,rocket,0.4512970711297072,0.24385414657769755
MedicalImages,1,lstm,0.0,0.0
MedicalImages,1,catch,0.36799357945425365,0.21756418943333625
MedicalImages,1,rocket,0.47855345911949687,0.2317925402883309
MedicalImages,2,lstm,0.0,0.0
MedicalImages,2,catch,0.48105263157894734,0.23301746196539455
MedicalImages,2,rocket,0.4989565217391304,0.20752107871163553
MedicalImages,3,lstm,0.0,0.0
MedicalImages,3,catch,0.4654945054945055,0.1883605598825321
MedicalImages,3,rocket,0.5468604651162791,0.19597853244980434
MedicalImages,4,lstm,0.0,0.0
MedicalImages,4,catch,0.3945,0.19731890431481725
MedicalImages,4,rocket,0.5197297297297299,0.1664491885212614
MedicalImages,5,lstm,0.0,0.0
MedicalImages,5,catch,0.2953246753246753,0.21621048195684564
MedicalImages,5,rocket,0.41495867768595046,0.21183622227873558
MedicalImages,6,lstm,0.0,0.0
MedicalImages,6,catch,0.594875,0.16326354270013868
MedicalImages,6,rocket,0.5458139534883721,0.13321136480149473
MedicalImages,7,lstm,0.0,0.0
MedicalImages,7,catch,0.40054054054054056,0.2569286290558852
MedicalImages,7,rocket,0.3822627737226278,0.22330952202896057
MedicalImages,8,lstm,0.0,0.0
MedicalImages,8,catch,0.3408823529411765,0.21226187553639578
MedicalImages,8,rocket,0.423448275862069,0.2884533771216579
MedicalImages,9,lstm,0.0,0.0
MedicalImages,9,catch,0.4495744680851064,0.21803725473988225
MedicalImages,9,rocket,0.5310204081632653,0.2242560935668733
